State of company,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB
Acre,-0.410740013266886,-0.7750960510530372,-0.6065078274754807,-0.6963927226517224,-0.5768484872895694,-0.689053635911259,-0.6192123941233487,-0.7033777264209807,-0.6119286624455713,-0.7059257785205953,-0.6220880811101078,-0.7231040927491733,-0.6042734610711827,-0.7139931196726083,-0.5455398220295605,-0.6934144623546858,-0.546731131933166,-0.6251528253593958,-0.5381517638761143,-0.646543707075358,-0.5232955066568273,-0.6134437076393168,-0.5165470314121052,-0.6436894916920928,-0.5207937565916122,-0.655523830149583,-0.5232632512393223,-0.6355302111394494,-0.5177824209278427,-0.6269268986822084,-0.54988085810506,-0.6264453832072009,-0.5284229978578346,-0.6011741398043935,-0.5129395905215257,-0.5808714854976473,-0.4875202041993362,-0.5594245604167879,-0.49869623233123916,-0.5254493129728568,-0.4812864082780401,-0.5096956868995555,-0.4742778734003829,-0.5274510537973615,-0.4609152055219516,-0.5123872906671034,-0.4454192097462431,-0.5074559320490319,-0.45495311153375523,-0.49627004393019525,-0.45411219088759514,-0.47099375373242836,-0.43315309846305894,-0.47449324424713224,-0.42106655098402707,-0.48471658363533016,-0.4105822931517072,-0.4987878760042631,-0.4052760702853009,-0.516211470362802,-0.40324460519557026
Alagoas,-0.7809318032201179,-0.5133632441428515,-0.4698683875243294,-0.6561945885593413,-0.5258781477453952,-0.6563489460553278,-0.5642594512752696,-0.664802151111896,-0.5633083882084075,-0.6836373662492519,-0.5735454988884297,-0.706533814172889,-0.5470529153555056,-0.6886352550354193,-0.48346538617721624,-0.6765963974780284,-0.49357993038371933,-0.5977218863319107,-0.49154299154274095,-0.5992968217354038,-0.4693360226731845,-0.5721180818763906,-0.4579409121702595,-0.5758437609249647,-0.47026285505065263,-0.6102320284219561,-0.4877965981900091,-0.586552407063638,-0.48890434448331427,-0.5626354943331883,-0.5215950016022273,-0.5452003054305459,-0.5002708583478143,-0.5330571898125025,-0.4941767249596643,-0.505700948219564,-0.4759481233639966,-0.49217251227160724,-0.48167103132462896,-0.46463319962704386,-0.45564742678836007,-0.43759953147688463,-0.4582300195730851,-0.4619977299204045,-0.44449769863905575,-0.45042937767832064,-0.43245236790213687,-0.4455354802958797,-0.4424909900702872,-0.4364124267458596,-0.42267912262714563,-0.415176801034661,-0.4207581108467833,-0.4281708497726756,-0.40865537360928594,-0.4332353980566661,-0.39677918105921156,-0.43195061355627407,-0.38814991741315163,-0.43286350510406674,-0.38132877322807296
Amapá,-0.46855215386195304,-0.7860611561751363,-0.6380400059257464,-0.6935843407090253,-0.5659195595033426,-0.6834270916039364,-0.5847076435039706,-0.6952772151575396,-0.5335891629790808,-0.6974266906337981,-0.574817070448073,-0.7070945129782443,-0.5729757151178976,-0.6889298030832871,-0.5287882549120355,-0.6745792900769415,-0.5370984150712876,-0.6077162309792035,-0.5252384499884236,-0.6266776153684847,-0.5150486414060529,-0.5914109171739848,-0.5117010207898581,-0.6230060628017113,-0.517436753956051,-0.6231644303955478,-0.5176100768926659,-0.6046616619795692,-0.5126628824282142,-0.5948856322174502,-0.5421540750446956,-0.587388219573422,-0.5245785008638048,-0.5744958092806294,-0.5094187854495221,-0.5636189690661536,-0.48352680947165244,-0.5459906022619763,-0.4953265103371319,-0.5157397690268543,-0.47575553871458537,-0.4980923493653491,-0.4730424917998833,-0.5196460820535705,-0.458190604478686,-0.5064044715869643,-0.4401082032938507,-0.5044063686146154,-0.4538929045538214,-0.4934362985164874,-0.4529163351389065,-0.4658771001554384,-0.43191819658698255,-0.46637588356127413,-0.4164758320835454,-0.4735068259423729,-0.405781105812205,-0.48381173156678264,-0.4022148685304091,-0.5033094775828943,-0.3990758987925627
Amazonas,3.3770205818309353,-0.42064642792795187,-0.3910379413986652,-0.6518174553608526,0.38613394934785994,-0.6361495444780055,0.4071776069153657,-0.6471537425774593,0.25454310540688524,-0.644048593021951,0.25155797344345904,-0.6576716884903061,0.37940893133081466,-0.6451286946008726,0.36446489734599385,-0.6323177521440603,0.2668897044649443,-0.5794372137521238,0.2524513511107747,-0.5903622702566035,0.259250475110344,-0.5579895660229904,0.11865127475917471,-0.5669638436747031,0.2173913917504644,-0.5804182434080167,0.2869968475287832,-0.5539261906825005,0.3160825353299516,-0.5572849012940427,0.3423154269503209,-0.5638141202587743,0.2730124532147294,-0.5005821621508356,0.33526545136726454,-0.47463824998441606,0.2423826815512028,-0.4577395745222024,0.2882867199919836,-0.421701138061816,0.26301803326844,-0.3571108782538433,0.3952260040280341,-0.26607403051327094,0.41654092144769395,-0.3444810237857442,0.37523143740962633,-0.26665940453469505,0.41434889019079113,-0.26486128705873624,0.34800924655153864,-0.28349256297855,0.2537671906982844,-0.2931771852522204,0.35814773956865664,-0.36436903728841824,0.22510874395604655,-0.4295826141116542,0.161752963578813,-0.46394642996544977,0.37879896686023407
Bahia,0.6769875710687409,0.741262742038246,0.013625015379744464,-0.042878373717820016,-0.02354602577385311,-0.05326435685780766,0.0597632443317106,-0.08290551085191716,-0.027748588452547022,0.07813797582644154,0.07766509474151802,-0.06312634965660098,-0.005406258451775844,-0.007739857507175349,-0.08017279587268948,-0.045241202371264486,0.00743111194313245,-0.04920328596821602,0.0886869045441544,-0.011024523792620464,0.12393078800112556,-0.018841722927947023,0.10862130833071973,0.04880083052281371,0.1574015063441217,0.04958977041588078,0.04942398297624834,0.057405078046960135,-0.0027915787578894984,0.11674217577889427,-0.025577719138306036,0.06933364243323627,-0.040267949658611656,0.0846421444227279,-0.001638444284653914,0.10951434184087434,-0.008597747858598211,0.19317613363318517,-0.012187138188743816,0.157362581120189,0.09396030108015772,0.17310246283537775,0.14535853618078518,0.1829528451311586,0.09095794782973342,0.08038812800609171,0.12713038693181308,0.09280168737761177,0.036837892913150434,0.01816602864314406,0.03231903290757268,-0.018151943990113807,0.04560763483472683,-0.03070520949646318,0.03441717249890024,-0.05386375910765411,-0.07553872434353676,-0.01898461105377177,-0.11580320834651052,-0.023461836155583844,-0.11273099375087649
Ceará,-0.4520122980439749,0.13221021045088419,0.415660290620632,-0.6110715774888799,-0.40622435789867095,-0.6126153757019366,-0.4268134337966439,-0.5919078561529305,-0.3952723139313093,-0.5745589930064262,-0.31981858558650056,-0.5279358779156972,-0.31661507782049336,-0.5456812178227984,-0.31973859309519365,-0.5036312041118183,-0.3581343010943622,-0.45754397062103863,-0.3378312707401443,-0.4766190353959406,-0.3216912830265319,-0.49491965267938165,-0.16277788477039393,-0.5465551245659559,-0.301846395011366,-0.5356268964540662,-0.3378529658566777,-0.5288167309006838,-0.3249666308291301,-0.5156381476685277,-0.3587357115173096,-0.5080707460413668,-0.3772224656337946,-0.5003958149934162,-0.34659295426372416,-0.47054927054653584,-0.3613332025586841,-0.46073840770029545,-0.37719799323882197,-0.4225835409647858,-0.3292407551849137,-0.41215457903340463,-0.3201033622664484,-0.41488382461915074,-0.36097157369998256,-0.39040309607847,-0.3353383314180339,-0.36881553873717443,-0.3138850016924003,-0.3833534648046271,-0.2982262047097673,-0.35754996122226435,-0.2995623153698067,-0.357491103259869,-0.2732641319723348,-0.3752728223865189,-0.27691462391724075,-0.38462887481514085,-0.2877790800436216,-0.40384591793136504,-0.2800222422856661
Distrito Federal,-0.8406778130115897,-0.5487105264707124,-0.007396436920432661,-0.6939979891069318,-0.4456014649848206,-0.6877235086263072,-0.515461072040679,-0.6999638196048689,-0.4636119971084734,-0.7007852586072841,-0.4753898291182265,-0.7179079030605741,-0.33587976710348794,-0.7084816930094388,-0.42098404573354237,-0.6881347006309984,-0.4580810949357865,-0.619751815372218,-0.46074096821872174,-0.6404597987053801,-0.42775258205546174,-0.604588692299892,-0.3655526805308777,-0.6313644421265047,-0.4225724687130318,-0.6446899075030421,-0.4449565168473465,-0.6276293814436278,-0.43889474276465795,-0.6195424472968006,-0.47222919366696625,-0.6211437171897709,-0.44953985578513017,-0.5992538591161277,-0.39282239187381646,-0.578805365783011,-0.37406227611785087,-0.5575338902295607,-0.4145753252918854,-0.5254563697730134,-0.3592934322300462,-0.5102708531497829,-0.35406799014890594,-0.5268004352807629,-0.3351741748832535,-0.5097767360143608,-0.3479678638018585,-0.5070225165647426,-0.3180362815315271,-0.49618477613078443,-0.30267478597846675,-0.4716241464809701,-0.31431611500671464,-0.47387301338944876,-0.31861775221914795,-0.4842657356163533,-0.261300115519461,-0.49550156895667596,-0.3322124167159657,-0.5131264923948271,-0.35242961461899885
Espírito Santo,-0.7311997197402111,-0.4329377025908884,-0.3332289475731781,-0.13908026108231183,0.06304067964636002,-0.07716718310812484,0.26413065905714866,-0.13366902584970156,0.0609864744809188,-0.17795826570024376,-0.037443328883699556,-0.047508444617386174,-0.1190042302253232,-0.25093142887613856,-0.07228586505807008,-0.1014359099570019,-0.08464189411856449,0.03075830062628365,-0.1412194122856104,0.01558958400685512,-0.11059385363808322,-0.07116896408826477,-0.14108313729519262,0.22539448215751118,-0.09832173972890333,0.29952814420411505,-0.10010176831193643,0.13748566276500102,-0.08688698916623418,0.2015467916838513,0.021005926143992604,0.37401902040355733,0.13476780595799834,0.3602615962938163,0.05847937174807911,0.08305919803289923,0.0618452645689539,0.23835550391220856,0.13831005286489537,0.10316789954523575,0.20284975402081126,0.17558698435504022,0.18299407490667907,0.1645911798789446,0.20407265006581313,0.15867668886231007,0.1078638513973797,0.19769628210549145,0.07281966073546213,0.20914086527901207,0.04121142280843256,0.17634018493677714,0.062369459415762274,0.3021490120233329,0.06548718795199202,0.3486528593158064,0.16185855195192425,0.4208079829595498,0.2089190909549121,0.33805681129674536,0.3285911738009507
Goiás,0.06710148453566933,-0.06582237435442698,-0.13089746918397327,-0.07969126535659726,-0.26306050046238455,-0.08562630377747206,-0.26261728844673676,-0.02408286709953947,-0.27708561463369835,1.3027745348211394e-05,-0.25369179473005504,-0.166758979333593,-0.18615572459180987,-0.03560930858950986,-0.23490137055033877,-0.1434872827085717,-0.254764588468669,-0.24316274847904232,-0.25049683487116364,-0.19784590187093545,-0.2311107705742801,-0.18791457587277705,-0.24872331819002286,-0.23767044050962033,-0.24509428204935851,-0.2571469800927228,-0.25093557005981687,-0.28986957957773246,-0.23524205973560303,-0.2693697705751614,-0.2079536206006688,-0.34461017017092915,-0.1660888485199391,-0.3647980914753516,-0.19639934563083583,-0.320568069155955,-0.19424277643968071,-0.34397463959199137,-0.2622108039329612,-0.3031981578889509,-0.2983106981557259,-0.3525981110171968,-0.33472911835993474,-0.3627318278912436,-0.3377412781330074,-0.3581396657635963,-0.32920805550599624,-0.38801669331374455,-0.3618423146155793,-0.3891908195743439,-0.37028457969151596,-0.3730422864575075,-0.3514863515447504,-0.39782082543701885,-0.34691704244544663,-0.4217733875871525,-0.34075688381883523,-0.44360125431072706,-0.3515983056932117,-0.43642421393227904,-0.3669192754145452
Maranhão,0.044907698412566095,-0.0976946413917202,-0.39366562293618734,-0.41016419349484007,-0.3401114891595525,-0.3613687228558533,-0.3663445708306865,-0.37646708146952806,-0.27867753533108874,-0.3718576765091797,-0.1595427966978568,-0.4114268789416628,-0.2933985567476598,-0.39900753046939536,-0.36063506302241777,-0.3865578594233154,-0.26251676410327623,-0.38973237111039505,-0.2934982736905497,-0.4029842909403345,-0.2934646520456144,-0.402817626182548,-0.3035889367024214,-0.35309814521700755,-0.2239663709965115,-0.4432688483984097,-0.08744605175526145,-0.45641826084281917,-0.11919748792698479,-0.4078344188325837,-0.08062358236821718,-0.42195226594830804,-0.1322244586127693,-0.42979847460087117,-0.22223915440785763,-0.4446715968008511,-0.2822985913117062,-0.31709762515235745,-0.1796510368414821,-0.34854063230407434,-0.23082066406253976,-0.3443770543101467,-0.23208074474252474,-0.333800556276185,-0.26503621983309317,-0.32178037471898263,-0.3044431637259444,-0.35504274195911584,-0.28662128047005164,-0.33771964606067484,-0.22882124257668154,-0.3467786523659957,-0.25866637063502745,-0.3036790334041129,-0.32330292557991785,-0.3122721691970231,-0.327981664741312,-0.33589351485775104,-0.34550540894707904,-0.3257878309878226,-0.331704221511905
