State of company,Area - km^2,Population - May 2023,GDP - millions 2022,Exports - 2025 - US$ FOB,Imports - 2025 - US$ FOB,Exports - 2024 - US$ FOB,Imports - 2024 - US$ FOB,Exports - 2023 - US$ FOB,Imports - 2023 - US$ FOB,Exports - 2022 - US$ FOB,Imports - 2022 - US$ FOB,Exports - 2021 - US$ FOB,Imports - 2021 - US$ FOB,Exports - 2020 - US$ FOB,Imports - 2020 - US$ FOB,Exports - 2019 - US$ FOB,Imports - 2019 - US$ FOB,Exports - 2018 - US$ FOB,Imports - 2018 - US$ FOB,Exports - 2017 - US$ FOB,Imports - 2017 - US$ FOB,Exports - 2016 - US$ FOB,Imports - 2016 - US$ FOB,Exports - 2015 - US$ FOB,Imports - 2015 - US$ FOB,Exports - 2014 - US$ FOB,Imports - 2014 - US$ FOB,Exports - 2013 - US$ FOB,Imports - 2013 - US$ FOB,Exports - 2012 - US$ FOB,Imports - 2012 - US$ FOB,Exports - 2011 - US$ FOB,Imports - 2011 - US$ FOB,Exports - 2010 - US$ FOB,Imports - 2010 - US$ FOB,Exports - 2009 - US$ FOB,Imports - 2009 - US$ FOB,Exports - 2008 - US$ FOB,Imports - 2008 - US$ FOB,Exports - 2007 - US$ FOB,Imports - 2007 - US$ FOB,Exports - 2006 - US$ FOB,Imports - 2006 - US$ FOB,Exports - 2005 - US$ FOB,Imports - 2005 - US$ FOB,Exports - 2004 - US$ FOB,Imports - 2004 - US$ FOB,Exports - 2003 - US$ FOB,Imports - 2003 - US$ FOB,Exports - 2002 - US$ FOB,Imports - 2002 - US$ FOB,Exports - 2001 - US$ FOB,Imports - 2001 - US$ FOB,Exports - 2000 - US$ FOB,Imports - 2000 - US$ FOB,Exports - 1999 - US$ FOB,Imports - 1999 - US$ FOB,Exports - 1998 - US$ FOB,Imports - 1998 - US$ FOB,Exports - 1997 - US$ FOB,Imports - 1997 - US$ FOB
Acre,"63,368","830,018","21,000",23161423,690361,61930769,4433028,30339499,5192829,40483332,5247469,42857409,3741216,29699528,2853498,31663834,1959594,45307049,2763320,25613473,2013287,24779970,1745965,27791285,6475595,19153583,9705150,18341443,2132131,11804475,4592775,19844302,6777864,20601404,2957314,15613222,1393381,20764535,1140621,18981325,1646936,23222349,2022222,16863139,501317,6529217,592582,3704020,817738,3643694,3635743,5710356,5352397,409754,5772612,1397291,745604,1411278,901789,213876,25963801
Alagoas,"10,726","3,127,683","73,000",251229989,293775425,651481332,868066837,718676017,713372230,429937412,792699823,280207547,772883677,303798554,665571553,229533140,665820421,420171027,591719335,605609379,602523167,471013626,579748057,754011863,621970062,583167295,584268415,680678045,497111923,921957668,429911107,1235728627,452833914,859373825,249112891,741097671,113718375,889898721,219991793,701869872,239259499,740704044,116234306,559650818,97404846,431743512,68226624,332152422,49765213,271893048,124233846,259749830,63957584,199210023,66617359,189851459,61953684,254712143,91004172,316804697,144287941
Amapá,"55,147","733,759",9000,39095089,63532899,163357579,546705519,174883752,1146248092,188991194,772072531,272176183,424436703,300614716,181696299,253264981,122272648,283590949,165938051,269486731,93791853,262689801,49539682,249186670,47365753,422121548,101287130,435782983,89882716,465402608,120776016,604359627,67691925,349110650,49147796,182120378,40155471,194378761,44456856,128007305,52904982,138695667,10814395,81587774,16583141,47589028,28294380,19880004,4981913,16343003,8223839,28997761,11191181,35246759,28278223,42432196,22035836,58168096,17007074,49221101,48470754
Amazonas,"601,995","3,941,613","103,000",276064139,5537945392,1015605518,16135054250,1033591452,12625801560,1121687415,14177436313,980101168,13226122909,774071032,9718230680,750483968,10164119349,670044540,9992952650,715288636,8710891855,623573186,6266381033,849062481,8997981002,954435006,13135998381,1121888869,14294853580,997704331,13420040730,957161035,12705106938,1259261923,11130809870,1040889389,7086233042,1334893991,10117446525,1183942986,6899584207,1541705637,6190254677,2184395961,5179643062,1158862171,4281042749,1280975623,3415175247,1040692151,3081105716,859083777,3253204936,778557812,3825804744,441946522,2819633663,263686423,2984097581,198738603,4248237144
Bahia,"218,045","14,141,626","257,000",3730947463,3182240431,11522975930,10675132111,11101948437,8514077268,13740733686,11356565432,9496277741,8053545500,7663754447,4971197168,7657606180,6923470205,7916081551,7923598513,7827154714,7204932141,6445285712,6167460619,7440206427,8267270854,8799853932,9287294627,9389043407,8829245683,10539693693,7888240792,10432620486,7741341431,8465544772,6710868121,6678651690,4650078678,9747025811,6254992508,7686101050,5332819901,6818247284,4411955564,5908061028,3257905532,4074719535,2986966900,3187686861,1932425287,2309066974,1869908623,2066727477,2268998249,1905000000,2238743029,1578595051,1486452119,1819776926,1523847127,1871885377,1594454255
Ceará,"57,499","8,794,957","410,000",507240390,981797890,1439843831,3028151838,2019390388,3160904423,2335906172,4908629508,2838417092,3870364193,1849021818,2413548806,2264517725,2357542242,2335805452,2534045597,2111584076,2245647199,1304601422,3490789592,1067517373,2673376155,1512216611,3013369995,1461449096,3307058616,1587284325,2878733599,1791396127,2402471880,1261556548,2185307984,1080352869,1226233961,1296138466,1562944914,1174034710,1410749608,993925419,1099277494,950354388,590413701,843701110,574765911,739102654,554890959,509674519,601717803,522026636,636987786,502543924,730361466,402031673,593477253,434052782,619065068,427025765,691244505
Distrito Federal,"2,230","2,817,381","249,000",36748209,755375189,85908287,1634976268,91256717,2165501648,130305632,2384970149,117286836,3611413665,89273814,1332633796,93781729,1109202425,119115827,980938703,100298649,1065301257,120396329,1490925795,159718593,1202865475,154067203,1278281943,125185937,1354293055,116343831,1172196676,99187110,1256640339,44247185,1578810333,35553717,1102678558,45198677,1082476406,18902086,1132232553,17498448,857552278,22258552,742681582,24445333,508891249,6003012,538585977,4025818,584650094,2841252,567229815,3071578,508019180,3047684,662717731,13865774,385296892,11931927,300315241
Espírito Santo,"17,798","3,833,712","125,000",3185135400,3680123520,11092092019,13886945704,10196132234,9806549281,9265864641,9489289424,9719986226,6526593555,5035040484,5055399487,6996459498,5773474341,9008815504,5018464964,8153865638,4594930080,5880256733,3704753758,9330464551,5152419580,11912308385,6864962761,10471989108,7387822504,11740245971,8588692564,14992431188,10514692200,11859442986,7499571512,6423328313,5333837378,10330902976,8189565065,7077562863,6341966930,6842972579,4679806540,5755792433,3925559513,4612010312,2886474144,3744085612,2073750878,3164912545,1904025730,2951918727,2348250435,3333499315,2391061151,3052064117,2539159029,3486509530,3232243239,3245086091,3977163979
Goiás,"131,318","7,056,495","202,000",3522085445,1805005832,10939603817,5608638616,12151570470,4882354728,12375626140,5981330933,8011859791,5623962079,7362507102,3319286544,6501713164,3648634464,5265482692,3637617709,5533762596,3253708964,4619638891,2643153868,4373818466,3364648435,4980095683,4421440349,4692779027,4844967473,5073628293,5145958118,4237687735,5747774543,2931267697,4155742312,2527848566,2848105721,2805139089,3041052640,2514582573,1697397895,1586615492,995186436,1382837562,727529381,1065123542,606740955,637252807,366529019,483514663,325254072,451516478,391483882,329462206,369284304,231809771,310377172,210558369,283305814,303279619,222085190
Maranhão,"128,162","6,776,699","102,000",1647110685,1361954164,5968937557,3978473181,5863681795,4859167581,5877784964,7508605477,4507274188,4182434131,3434451641,1976930597,3641918849,3551809452,3262500886,3094244546,3015513510,2559778646,2299118099,2102042416,3138280526,3621998135,2662340994,7069986613,2440508030,6834009857,3113427812,7060547463,3080214021,6284338238,2130871779,3816742226,1330102978,1993387454,3152485121,4102320685,2005443551,2322870478,1668429254,1725731766,1622757200,1156667421,1314655677,735912711,812158534,661974678,714180528,868001282,571050051,830349374,733487382,485050514,632654483,367027196,618750784,315361146,723523391,412212171
